TripNumber,TripDate,FromPos,ToPos,Distance,DriverName,DriverType,Revenue,DieselCost,OtherExpensesCost,ExternalTransportCost,TotalCost,Profit,TripYear,TripMonth,TripDay,TripQuarter,TripWeekday
TR0001,2023-11-24,JEDDAH,RIYADH,663,Abdullah Hassan,Internal,1546.53,170.5,99.66,0.0,270.16,1276.37,2023,11,24,4,Friday
TR0002,2023-10-07,JEDDAH,JUBAIL,964,Ahmed Ali,Internal,1202.71,148.25,67.5,0.0,215.75,986.96,2023,10,7,4,Saturday
TR0003,2023-10-15,MAKKAH,YANBU,1216,Saeed Turki,Internal,3869.07,494.54,279.18,0.0,773.72,3095.35,2023,10,15,4,Sunday
TR0004,2023-03-23,YANBU,ABHA,796,Faisal Nasser,Internal,2114.85,372.95,55.27,0.0,428.22,1686.63,2023,3,23,1,Thursday
TR0005,2023-07-14,JEDDAH,ABHA,804,Fahad Majed,External,6553.46,1133.57,341.92,956.59,2432.08,4121.38,2023,7,14,3,Friday
TR0006,2023-07-13,JEDDAH,HAIL,700,Hamad Saleh,External,4830.14,823.33,109.88,165.12,1098.33,3731.81,2023,7,13,3,Thursday
TR0007,2023-05-29,JEDDAH,MADINAH,306,Saeed Turki,External,3900.58,715.41,116.08,207.86,1039.35,2861.23,2023,5,29,2,Monday
TR0008,2023-12-10,MADINAH,YANBU,1427,Mohammed Saeed,Internal,4506.05,560.92,215.1,0.0,776.02,3730.03,2023,12,10,4,Sunday
TR0009,2023-05-19,JUBAIL,BURAIDAH,549,Salem Rashed,External,6821.39,1211.48,230.17,32.85,1474.5,5346.89,2023,5,19,2,Friday
TR0010,2023-06-11,ABHA,MADINAH,235,Abdullah Hassan,External,2094.7,314.04,153.08,201.99,669.11,1425.59,2023,6,11,2,Sunday
TR0011,2023-03-15,MADINAH,DAMMAM,605,Majed Saud,External,6102.6,871.72,335.72,331.37,1538.81,4563.79,2023,3,15,1,Wednesday
TR0012,2023-03-12,BURAIDAH,TABUK,286,Rashed Hamad,Internal,6958.27,802.18,205.96,0.0,1008.14,5950.13,2023,3,12,1,Sunday
TR0013,2023-12-15,ABHA,JUBAIL,230,Saeed Turki,External,4969.16,729.5,174.34,412.36,1316.2,3652.96,2023,12,15,4,Friday
TR0014,2023-01-06,JUBAIL,JEDDAH,1496,Saleh Ayed,External,6264.49,839.55,235.61,148.62,1223.78,5040.71,2023,1,6,1,Friday
TR0015,2023-01-02,YANBU,MADINAH,1125,Rashed Hamad,Internal,4307.61,476.6,247.77,0.0,724.37,3583.24,2023,1,2,1,Monday
TR0016,2023-11-24,BURAIDAH,JUBAIL,507,Khalid Omar,External,6218.83,957.31,414.91,494.73,1866.95,4351.88,2023,11,24,4,Friday
TR0017,2023-01-01,HAIL,TAIF,1100,Ahmed Ali,Internal,7468.24,1403.07,522.03,0.0,1925.1,5543.14,2023,1,1,1,Sunday
TR0018,2023-06-07,MAKKAH,RIYADH,593,Saleh Ayed,Internal,1142.4,169.76,27.59,0.0,197.35,945.05,2023,6,7,2,Wednesday
TR0019,2023-09-30,DAMMAM,MAKKAH,1451,Nasser Fahad,Internal,2487.92,465.85,112.92,0.0,578.77,1909.15,2023,9,30,3,Saturday
TR0020,2023-04-19,BURAIDAH,MAKKAH,738,Saeed Turki,External,3785.75,574.52,103.2,127.6,805.32,2980.43,2023,4,19,2,Wednesday
TR0021,2023-06-23,RIYADH,JUBAIL,1234,Abdullah Hassan,Internal,553.93,94.6,13.04,0.0,107.64,446.29,2023,6,23,2,Friday
TR0022,2023-02-04,RIYADH,ABHA,245,Turki Salem,Internal,2588.58,384.51,135.52,0.0,520.03,2068.55,2023,2,4,1,Saturday
TR0023,2023-10-20,HAIL,TABUK,597,Rashed Hamad,External,6556.23,780.46,169.25,423.91,1373.62,5182.61,2023,10,20,4,Friday
TR0024,2023-08-05,ABHA,BURAIDAH,210,Salem Rashed,Internal,954.6,164.98,64.95,0.0,229.93,724.67,2023,8,5,3,Saturday
TR0025,2023-02-25,MAKKAH,MADINAH,489,Turki Salem,External,1551.37,183.6,74.09,203.5,461.19,1090.18,2023,2,25,1,Saturday
TR0026,2023-02-08,TABUK,HAIL,300,Ahmed Ali,Internal,7767.47,1496.3,550.88,0.0,2047.18,5720.29,2023,2,8,1,Wednesday
TR0027,2023-03-27,ABHA,BURAIDAH,1085,Abdullah Hassan,External,7268.32,846.5,146.31,425.66,1418.47,5849.85,2023,3,27,1,Monday
TR0028,2023-08-21,MADINAH,TABUK,1238,Salem Rashed,External,1660.98,215.38,129.76,144.3,489.44,1171.54,2023,8,21,3,Monday
TR0029,2023-10-05,RIYADH,ABHA,217,Ahmed Ali,External,4271.38,791.37,125.77,615.58,1532.72,2738.66,2023,10,5,4,Thursday
TR0030,2023-02-11,DAMMAM,JEDDAH,1318,Mohammed Saeed,Internal,3528.32,685.06,191.17,0.0,876.23,2652.09,2023,2,11,1,Saturday
TR0031,2023-10-24,HAIL,RIYADH,1368,Mohammed Saeed,External,5430.3,849.97,211.68,212.41,1274.06,4156.24,2023,10,24,4,Tuesday
TR0032,2023-12-09,YANBU,TAIF,588,Faisal Nasser,External,1481.59,243.8,70.28,206.46,520.54,961.05,2023,12,9,4,Saturday
TR0033,2023-02-07,RIYADH,BURAIDAH,1372,Fahad Majed,Internal,1049.46,127.32,37.69,0.0,165.01,884.45,2023,2,7,1,Tuesday
